SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
0  208  2025-06-05 20-36-20  2804.8  2665.38  25232  0  1872  0  0
1  208  2025-06-05 20-36-20  2806.4  2654.93  25232  0  1872  0  0
2  208  2025-06-05 20-36-20  2808  2644.57  25232  0  1872  0  0
3  208  2025-06-05 20-36-20  2809.6  2634.3  25232  0  1872  0  0
4  208  2025-06-05 20-36-20  2811.2  2624.12  25232  0  1872  0  0
5  208  2025-06-05 20-36-20  2812.8  2614.04  25232  0  1872  0  0
6  208  2025-06-05 20-36-20  2814.4  2604.06  25232  0  1872  0  0
7  208  2025-06-05 20-36-20  2816  2594.18  25232  0  1872  0  0
8  208  2025-06-05 20-36-20  2817.6  2584.39  25232  0  1872  0  0
9  208  2025-06-05 20-36-20  2819.2  2574.72  25232  0  1872  0  0
10  208  2025-06-05 20-36-20  2820.8  2565.14  25232  0  1872  0  0
11  208  2025-06-05 20-36-20  2822.4  2555.68  25232  0  1872  0  0
12  208  2025-06-05 20-36-20  2824  2546.32  25232  0  1872  0  0
13  208  2025-06-05 20-36-20  2825.6  2537.08  25232  0  1872  0  0
14  208  2025-06-05 20-36-20  2827.2  2527.96  25232  0  1872  0  0
15  208  2025-06-05 20-36-20  2828.8  2518.95  25232  0  1872  0  0
16  208  2025-06-05 20-36-20  2830.4  2510.06  25232  0  1872  0  0
17  208  2025-06-05 20-36-20  14032  2501.29  25232  0  1872  0  0
18  208  2025-06-05 20-36-20  14033.6  2492.65  25232  0  1872  0  0
19  208  2025-06-05 20-36-20  14035.2  2484.13  25232  0  1872  0  0
20  208  2025-06-05 20-36-20  14036.8  2475.74  25232  0  1872  0  0
21  208  2025-06-05 20-36-20  14038.4  2467.49  25232  0  1872  0  0
22  208  2025-06-05 20-36-20  14040  2459.37  25232  0  1872  0  0
23  208  2025-06-05 20-36-20  14041.6  2451.39  25232  0  1872  0  0
24  208  2025-06-05 20-36-20  14043.2  2443.55  25232  0  1872  0  0
25  208  2025-06-05 20-36-20  14044.8  2435.85  25232  0  1872  0  0
26  208  2025-06-05 20-36-20  14046.4  2428.3  25232  0  1872  0  0
27  208  2025-06-05 20-36-20  14048  2420.9  25232  0  1872  0  0
28  208  2025-06-05 20-36-20  14049.6  2413.64  25232  0  1872  0  0
29  208  2025-06-05 20-36-20  14051.2  2406.54  25232  0  1872  0  0
30  208  2025-06-05 20-36-20  14052.8  2399.6  25232  0  1872  0  0
31  208  2025-06-05 20-36-20  14054.4  2392.82  25232  0  1872  0  0
32  208  2025-06-05 20-36-20  14056  2386.19  25232  0  1872  0  0
33  208  2025-06-05 20-36-20  14057.6  2379.73  25232  0  1872  0  0
34  208  2025-06-05 20-36-20  14059.2  2373.44  25232  0  1872  0  0
35  208  2025-06-05 20-36-20  14060.8  2367.32  25232  0  1872  0  0
36  208  2025-06-05 20-36-20  14062.4  2361.37  25232  0  1872  0  0
37  208  2025-06-05 20-36-20  14064  2355.6  25232  0  1872  0  0
38  208  2025-06-05 20-36-20  14065.6  2350  25232  0  1872  0  0
39  208  2025-06-05 20-36-20  14067.2  2344.59  25232  0  1872  0  0
40  208  2025-06-05 20-36-20  14068.8  2339.36  25232  0  1872  0  0
41  208  2025-06-05 20-36-20  14070.4  2334.31  25232  0  1872  0  0
42  208  2025-06-05 20-36-20  14072  2329.45  25232  0  1872  0  0
43  208  2025-06-05 20-36-20  14073.6  2324.78  25232  0  1872  0  0
44  208  2025-06-05 20-36-20  14075.2  2320.31  25232  0  1872  0  0
45  208  2025-06-05 20-36-20  14076.8  2316.03  25232  0  1872  0  0
46  208  2025-06-05 20-36-20  14078.4  2311.94  25232  0  1872  0  0
47  208  2025-06-05 20-36-20  14080  2308.06  25232  0  1872  0  0
48  208  2025-06-05 20-36-20  14081.6  2304.38  25232  0  1872  0  0
49  208  2025-06-05 20-36-20  14083.2  2300.9  25232  0  1872  0  0
50  208  2025-06-05 20-36-20  14084.8  2297.63  25232  0  1872  0  0
51  208  2025-06-05 20-36-20  14086.4  2294.56  25232  0  1872  0  0
52  208  2025-06-05 20-36-20  14088  2291.7  25232  0  1872  0  0
53  208  2025-06-05 20-36-20  14089.6  2289.06  25232  0  1872  0  0
54  208  2025-06-05 20-36-20  14091.2  2286.62  25232  0  1872  0  0
55  208  2025-06-05 20-36-20  14092.8  2284.4  25232  0  1872  0  0
56  208  2025-06-05 20-36-20  14094.4  2282.39  25232  0  1872  0  0
57  208  2025-06-05 20-36-20  14096  2280.6  25232  0  1872  0  0
58  208  2025-06-05 20-36-20  14097.6  2279.03  25232  0  1872  0  0
59  208  2025-06-05 20-36-20  14099.2  2277.67  25232  0  1872  0  0
60  208  2025-06-05 20-36-20  14100.8  2276.53  25232  0  1872  0  0
61  208  2025-06-05 20-36-20  14102.4  2275.61  25232  0  1872  0  0
62  208  2025-06-05 20-36-20  14104  2274.91  25232  0  1872  0  0
63  208  2025-06-05 20-36-20  14105.6  2274.43  25232  0  1872  0  0
64  208  2025-06-05 20-36-20  14107.2  2274.17  25232  0  1872  0  0
65  208  2025-06-05 20-36-20  14108.8  2274.13  25232  0  1872  0  0
66  208  2025-06-05 20-36-20  14110.4  2274.31  25232  0  1872  0  0
67  208  2025-06-05 20-36-20  14112  2274.71  25232  0  1872  0  0
68  208  2025-06-05 20-36-20  14113.6  2275.33  25232  0  1872  0  0
69  208  2025-06-05 20-36-20  14115.2  2276.17  25232  0  1872  0  0
70  208  2025-06-05 20-36-20  14116.8  2277.22  25232  0  1872  0  0
71  208  2025-06-05 20-36-20  14118.4  2278.5  25232  0  1872  0  0
72  208  2025-06-05 20-36-20  14120  2279.99  25232  0  1872  0  0
73  208  2025-06-05 20-36-20  14121.6  2281.69  25232  0  1872  0  0
74  208  2025-06-05 20-36-20  14123.2  2283.61  25232  0  1872  0  0
75  208  2025-06-05 20-36-20  14124.8  2285.75  25232  0  1872  0  0
76  208  2025-06-05 20-36-20  14126.4  2288.09  25232  0  1872  0  0
77  208  2025-06-05 20-36-20  14128  2290.65  25232  0  1872  0  0
78  208  2025-06-05 20-36-20  14129.6  2293.41  25232  0  1872  0  0
79  208  2025-06-05 20-36-20  14131.2  2296.38  25232  0  1872  0  0
80  208  2025-06-05 20-36-20  14132.8  2299.56  25232  0  1872  0  0
81  208  2025-06-05 20-36-20  14134.4  2302.94  25232  0  1872  0  0
82  208  2025-06-05 20-36-20  14136  2306.52  25232  0  1872  0  0
83  208  2025-06-05 20-36-20  14137.6  2310.3  25232  0  1872  0  0
84  208  2025-06-05 20-36-20  14139.2  2314.28  25232  0  1872  0  0
85  208  2025-06-05 20-36-20  14140.8  2318.45  25232  0  1872  0  0
86  208  2025-06-05 20-36-20  14142.4  2322.82  25232  0  1872  0  0
87  208  2025-06-05 20-36-20  14144  2327.37  25232  0  1872  0  0
88  208  2025-06-05 20-36-20  14145.6  2332.11  25232  0  1872  0  0
89  208  2025-06-05 20-36-20  14147.2  2337.04  25232  0  1872  0  0
90  208  2025-06-05 20-36-20  14148.8  2342.15  25232  0  1872  0  0
91  208  2025-06-05 20-36-20  14150.4  2347.44  25232  0  1872  0  0
92  208  2025-06-05 20-36-20  14152  2352.9  25232  0  1872  0  0
93  208  2025-06-05 20-36-20  14153.6  2358.54  25232  0  1872  0  0
94  208  2025-06-05 20-36-20  14155.2  2364.36  25232  0  1872  0  0
95  208  2025-06-05 20-36-20  14156.8  2370.34  25232  0  1872  0  0
96  208  2025-06-05 20-36-20  14158.4  2376.49  25232  0  1872  0  0
97  208  2025-06-05 20-36-20  14160  2382.8  25232  0  1872  0  0
98  208  2025-06-05 20-36-20  14161.6  2389.27  25232  0  1872  0  0
99  208  2025-06-05 20-36-20  14163.2  2395.9  25232  0  1872  0  0
100  208  2025-06-05 20-36-20  14164.8  2402.69  25232  0  1872  0  0
101  208  2025-06-05 20-36-20  14166.4  2409.62  25232  0  1872  0  0
102  208  2025-06-05 20-36-20  14168  2416.71  25232  0  1872  0  0
103  208  2025-06-05 20-36-20  14169.6  2423.95  25232  0  1872  0  0
104  208  2025-06-05 20-36-20  14171.2  2431.33  25232  0  1872  0  0
105  208  2025-06-05 20-36-20  14172.8  2438.85  25232  0  1872  0  0
106  208  2025-06-05 20-36-20  14174.4  2446.51  25232  0  1872  0  0
107  208  2025-06-05 20-36-20  14176  2454.3  25232  0  1872  0  0
108  208  2025-06-05 20-36-20  14177.6  2462.23  25232  0  1872  0  0
109  208  2025-06-05 20-36-20  14179.2  2470.29  25232  0  1872  0  0
110  208  2025-06-05 20-36-20  14180.8  2478.48  25232  0  1872  0  0
111  208  2025-06-05 20-36-20  14182.4  2486.79  25232  0  1872  0  0
