Step,id,x,y,Vel,Yaw
0,1,0.5,3.06152e-17,5,90
0,2,75.5,130,5,90
0,3,75.5,-130,5,90
0,4,225.5,130,5,90
0,5,225.5,-130,5,90
0,6,300.5,3.06152e-17,5,90
0,7,500.8,0,8,90
1,1,1.01799,6.23316e-17,5.17986,90
1,2,76.0179,129.994,5.17986,90.7091
1,3,76.0179,-129.994,5.17986,89.2909
1,4,226.018,129.995,5.17986,90.6058
1,5,226.018,-129.995,5.17986,89.3942
1,6,301.018,6.23316e-17,5.17986,90
1,7,501.6,0,8,90
2,1,1.55364,9.51296e-17,5.35649,90
2,2,76.5534,129.98,5.35649,91.4105
2,3,76.5534,-129.98,5.35649,88.5895
2,4,226.553,129.983,5.35649,91.205
2,5,226.553,-129.983,5.35649,88.795
2,6,301.554,9.51296e-17,5.35649,90
2,7,502.4,0,8,90
3,1,2.10663,1.2899e-16,5.52994,90
3,2,77.1061,129.96,5.52994,92.1044
3,3,77.1061,-129.96,5.52994,87.8956
3,4,227.106,129.966,5.52994,91.7975
3,5,227.106,-129.966,5.52994,88.2025
3,6,302.107,1.2899e-16,5.52994,90
3,7,503.2,0,8,90
4,1,2.67666,1.63892e-16,5.70027,90
4,2,77.6754,129.932,5.70027,92.7907
4,3,77.6754,-129.932,5.70027,87.2093
4,4,227.676,129.942,5.70027,92.3834
4,5,227.676,-129.942,5.70027,87.6166
4,6,302.677,1.63892e-16,5.70027,90
4,7,504,0,8,90
5,1,3.26341,1.9982e-16,5.86754,90
5,2,78.2611,129.897,5.86754,93.4694
5,3,78.2611,-129.897,5.86754,86.5306
5,4,228.262,129.912,5.86754,92.9628
5,5,228.262,-129.912,5.86754,87.0372
5,6,303.263,1.9982e-16,5.86754,90
5,7,504.8,0,8,90
6,1,3.86659,2.36752e-16,6.0318,90
6,2,78.8627,129.853,6.0318,94.1406
6,3,78.8627,-129.853,6.0318,85.8594
6,4,228.864,129.875,6.0318,93.5355
6,5,228.864,-129.875,6.0318,86.4645
6,6,303.867,2.36752e-16,6.0318,90
6,7,505.6,0,8,90
7,1,4.4859,2.74673e-16,6.1931,90
7,2,79.4798,129.801,6.1931,94.8042
7,3,79.4798,-129.801,6.1931,85.1958
7,4,229.481,129.83,6.1931,94.1017
7,5,229.481,-129.83,6.1931,85.8983
7,6,304.486,2.74673e-16,6.1931,90
7,7,506.4,0,8,90
8,1,5.12105,3.13563e-16,6.3515,90
8,2,80.1121,129.741,6.3515,95.4604
8,3,80.1121,-129.741,6.3515,84.5396
8,4,230.115,129.779,6.3515,94.6614
8,5,230.115,-129.779,6.3515,85.3386
8,6,305.121,3.13563e-16,6.3515,90
8,7,507.2,0,8,90
9,1,5.77175,3.53406e-16,6.50706,90
9,2,80.7591,129.672,6.50706,96.109
9,3,80.7591,-129.672,6.50706,83.891
9,4,230.763,129.72,6.50706,95.2146
9,5,230.763,-129.72,6.50706,84.7854
9,6,305.772,3.53406e-16,6.50706,90
9,7,508,0,8,90
10,1,6.43774,3.94185e-16,6.65981,90
10,2,81.4205,129.593,6.65981,96.7502
10,3,81.4205,-129.593,6.65981,83.2498
10,4,231.425,129.653,6.65981,95.7612
10,5,231.425,-129.653,6.65981,84.2388
10,6,306.438,3.94185e-16,6.65981,90
10,7,508.8,0,8,90
11,1,7.11872,4.35881e-16,6.80982,90
11,2,82.0958,129.506,6.80982,97.3839
11,3,82.0958,-129.506,6.80982,82.6161
11,4,232.102,129.578,6.80982,96.3014
11,5,232.102,-129.578,6.80982,83.6986
11,6,307.119,4.35881e-16,6.80982,90
11,7,509.6,0,8,90
12,1,7.81443,4.7848e-16,6.95713,90
12,2,82.7847,129.409,6.95713,98.0102
12,3,82.7847,-129.409,6.95713,81.9898
12,4,232.793,129.495,6.95713,96.8352
12,5,232.793,-129.495,6.95713,83.1648
12,6,307.814,4.7848e-16,6.95713,90
12,7,510.4,0,8,90
